0.557,0.418,0.37,0.182,0.167,0.178,0
0.596,0.422,0.363,0.169,0.164,0.16,0
0.323,0.252,0.297,0.189,0.161,0.163,0
0.624,0.439,0.356,0.219,0.172,0.147,0
0.369,0.264,0.263,0.119,0.168,0.204,0
0.854,0.632,0.604,0.095,0.152,0.208,0
0.704,0.547,0.484,0.186,0.156,0.156,0
0.686,0.494,0.48,0.238,0.184,0.179,0
0.674,0.544,0.536,0.143,0.157,0.158,0
0.664,0.582,0.551,0.271,0.307,0.325,0
0.538,0.408,0.433,0.161,0.153,0.13,0
0.82,0.569,0.493,0.204,0.136,0.124,0
0.744,0.368,0.119,0.182,0.135,0.076,0
0.637,0.512,0.488,0.212,0.183,0.187,0
0.408,0.234,0.166,0.281,0.17,0.124,0
0.722,0.539,0.487,0.146,0.173,0.176,0
0.701,0.512,0.47,0.235,0.207,0.183,0
0.606,0.449,0.38,0.123,0.148,0.132,0
0.251,0.2,0.193,0.139,0.1,0.082,0
0.707,0.567,0.521,0.161,0.189,0.194,0
0.39,0.235,0.167,0.255,0.172,0.132,0
0.723,0.539,0.447,0.08,0.081,0.081,0
0.712,0.54,0.478,0.148,0.164,0.155,0
0.497,0.353,0.31,0.256,0.182,0.169,0
0.527,0.387,0.294,0.37,0.248,0.191,0
0.51,0.364,0.261,0.235,0.177,0.157,0
0.567,0.393,0.301,0.15,0.158,0.153,0
0.58,0.397,0.301,0.23,0.172,0.141,0
0.559,0.426,0.373,0.136,0.11,0.103,0
0.703,0.597,0.54,0.207,0.268,0.282,0
0.569,0.42,0.404,0.208,0.217,0.217,0
0.674,0.513,0.512,0.187,0.163,0.158,0
0.645,0.484,0.461,0.168,0.154,0.156,0
0.639,0.446,0.421,0.241,0.236,0.233,0
0.865,0.655,0.556,0.147,0.138,0.124,0
0.589,0.463,0.398,0.179,0.167,0.164,0
0.618,0.478,0.416,0.15,0.12,0.12,0
0.688,0.604,0.558,0.207,0.173,0.164,0
0.511,0.424,0.441,0.16,0.182,0.189,0
0.581,0.406,0.348,0.33,0.246,0.223,0
0.563,0.401,0.331,0.197,0.186,0.172,0
0.483,0.343,0.302,0.3,0.268,0.252,0
0.647,0.475,0.415,0.217,0.181,0.148,0
0.54,0.493,0.45,0.261,0.153,0.176,0
0.435,0.3,0.28,0.158,0.172,0.165,0
0.67,0.576,0.583,0.127,0.153,0.155,0
0.65,0.526,0.511,0.161,0.195,0.196,0
0.728,0.557,0.489,0.179,0.151,0.153,0
0.711,0.576,0.57,0.142,0.129,0.1,0
0.748,0.543,0.458,0.24,0.239,0.216,0
0.661,0.499,0.409,0.158,0.147,0.138,0
0.549,0.346,0.244,0.316,0.22,0.174,0
0.401,0.278,0.229,0.124,0.117,0.1,0
0.699,0.468,0.423,0.133,0.105,0.177,0
